Category: All categories

Week,Indebted: (United States),American Vandal: (United States),The Vietnam War: (United States),Making the Cut: (United States)
2016-05-22,1,0,<1,0
2016-05-29,1,0,0,<1
2016-06-05,<1,0,<1,<1
2016-06-12,<1,0,<1,<1
2016-06-19,<1,0,0,<1
2016-06-26,1,0,<1,<1
2016-07-03,<1,0,<1,<1
2016-07-10,<1,0,<1,<1
2016-07-17,<1,0,0,0
2016-07-24,<1,0,<1,<1
2016-07-31,<1,0,<1,0
2016-08-07,1,0,<1,0
2016-08-14,<1,0,0,<1
2016-08-21,<1,0,<1,<1
2016-08-28,1,0,<1,<1
2016-09-04,1,0,0,0
2016-09-11,1,0,<1,<1
2016-09-18,1,0,<1,<1
2016-09-25,1,0,0,0
2016-10-02,<1,0,<1,<1
2016-10-09,<1,0,0,<1
2016-10-16,<1,0,0,0
2016-10-23,<1,0,<1,<1
2016-10-30,1,0,<1,0
2016-11-06,<1,0,0,<1
2016-11-13,<1,0,<1,<1
2016-11-20,<1,0,0,0
2016-11-27,<1,0,<1,0
2016-12-04,<1,0,0,<1
2016-12-11,<1,0,0,<1
2016-12-18,1,0,<1,<1
2016-12-25,<1,0,<1,0
2017-01-01,<1,0,<1,0
2017-01-08,1,0,<1,<1
2017-01-15,<1,0,0,0
2017-01-22,<1,0,<1,<1
2017-01-29,1,<1,0,<1
2017-02-05,<1,0,<1,<1
2017-02-12,1,<1,<1,<1
2017-02-19,<1,<1,0,0
2017-02-26,<1,0,<1,<1
2017-03-05,<1,0,<1,<1
2017-03-12,<1,0,<1,<1
2017-03-19,<1,<1,<1,0
2017-03-26,<1,0,0,<1
2017-04-02,<1,<1,0,<1
2017-04-09,<1,0,<1,<1
2017-04-16,<1,0,<1,0
2017-04-23,<1,0,<1,<1
2017-04-30,<1,<1,<1,<1
2017-05-07,<1,0,<1,<1
2017-05-14,<1,0,<1,<1
2017-05-21,1,0,<1,<1
2017-05-28,<1,0,1,0
2017-06-04,<1,0,<1,<1
2017-06-11,1,<1,<1,<1
2017-06-18,<1,0,<1,0
2017-06-25,<1,0,<1,<1
2017-07-02,<1,0,1,<1
2017-07-09,<1,<1,<1,0
2017-07-16,<1,0,<1,0
2017-07-23,<1,0,1,<1
2017-07-30,1,7,1,<1
2017-08-06,<1,10,2,<1
2017-08-13,1,7,1,<1
2017-08-20,1,2,<1,0
2017-08-27,1,3,1,0
2017-09-03,<1,3,1,<1
2017-09-10,1,22,5,0
2017-09-17,1,87,38,0
2017-09-24,1,44,23,0
2017-10-01,1,26,8,<1
2017-10-08,<1,21,5,0
2017-10-15,1,17,3,0
2017-10-22,1,14,4,0
2017-10-29,<1,11,3,0
2017-11-05,1,10,2,0
2017-11-12,1,10,2,<1
2017-11-19,<1,10,2,0
2017-11-26,1,8,2,<1
2017-12-03,<1,7,2,0
2017-12-10,1,11,1,0
2017-12-17,1,10,1,<1
2017-12-24,<1,11,1,0
2017-12-31,<1,12,2,<1
2018-01-07,<1,8,1,<1
2018-01-14,<1,9,1,0
2018-01-21,<1,5,1,<1
2018-01-28,<1,6,1,<1
2018-02-04,1,4,<1,0
2018-02-11,<1,4,1,<1
2018-02-18,1,4,<1,0
2018-02-25,1,4,1,<1
2018-03-04,<1,2,<1,<1
2018-03-11,0,3,1,<1
2018-03-18,<1,4,1,<1
2018-03-25,<1,3,<1,0
2018-04-01,1,3,1,<1
2018-04-08,<1,4,1,<1
2018-04-15,1,2,<1,<1
2018-04-22,<1,2,<1,0
2018-04-29,<1,1,<1,0
2018-05-06,<1,2,<1,<1
2018-05-13,1,2,<1,<1
2018-05-20,1,2,<1,0
2018-05-27,1,2,1,0
2018-06-03,<1,2,<1,0
2018-06-10,1,2,<1,<1
2018-06-17,1,2,1,0
2018-06-24,<1,2,1,<1
2018-07-01,<1,1,2,<1
2018-07-08,<1,2,2,0
2018-07-15,<1,2,1,0
2018-07-22,<1,2,1,0
2018-07-29,<1,2,1,0
2018-08-05,<1,2,<1,<1
2018-08-12,<1,2,<1,<1
2018-08-19,1,6,<1,<1
2018-08-26,<1,4,1,<1
2018-09-02,<1,5,1,0
2018-09-09,<1,18,1,<1
2018-09-16,<1,100,1,<1
2018-09-23,<1,58,1,<1
2018-09-30,<1,35,1,<1
2018-10-07,1,23,<1,<1
2018-10-14,1,13,<1,0
2018-10-21,1,9,1,<1
2018-10-28,<1,8,<1,0
2018-11-04,<1,5,<1,<1
2018-11-11,<1,5,<1,0
2018-11-18,1,6,<1,<1
2018-11-25,1,5,<1,0
2018-12-02,1,3,<1,0
2018-12-09,<1,4,<1,<1
2018-12-16,1,5,<1,0
2018-12-23,1,5,<1,<1
2018-12-30,<1,4,<1,<1
2019-01-06,<1,3,1,0
2019-01-13,1,4,<1,0
2019-01-20,<1,4,<1,0
2019-01-27,1,3,<1,<1
2019-02-03,<1,3,<1,<1
2019-02-10,1,3,<1,0
2019-02-17,<1,4,1,<1
2019-02-24,1,2,<1,0
2019-03-03,<1,4,<1,0
2019-03-10,<1,3,<1,0
2019-03-17,<1,4,<1,0
2019-03-24,<1,3,1,0
2019-03-31,1,2,<1,0
2019-04-07,<1,1,<1,<1
2019-04-14,1,2,<1,<1
2019-04-21,<1,1,<1,<1
2019-04-28,<1,1,1,0
2019-05-05,<1,1,<1,<1
2019-05-12,1,1,0,<1
2019-05-19,<1,1,<1,0
2019-05-26,<1,2,<1,0
2019-06-02,0,1,<1,<1
2019-06-09,1,2,<1,<1
2019-06-16,<1,1,<1,<1
2019-06-23,<1,1,<1,<1
2019-06-30,<1,2,<1,<1
2019-07-07,<1,1,0,<1
2019-07-14,<1,1,<1,1
2019-07-21,<1,1,<1,<1
2019-07-28,<1,1,0,<1
2019-08-04,<1,1,<1,<1
2019-08-11,<1,2,<1,<1
2019-08-18,1,1,<1,<1
2019-08-25,1,1,<1,<1
2019-09-01,1,1,<1,<1
2019-09-08,1,1,1,<1
2019-09-15,1,1,<1,<1
2019-09-22,1,1,<1,<1
2019-09-29,1,1,<1,<1
2019-10-06,<1,1,<1,<1
2019-10-13,1,1,<1,<1
2019-10-20,1,1,1,<1
2019-10-27,1,1,<1,<1
2019-11-03,1,1,<1,<1
2019-11-10,1,1,<1,<1
2019-11-17,1,1,<1,0
2019-11-24,<1,1,<1,<1
2019-12-01,1,1,<1,<1
2019-12-08,1,1,<1,<1
2019-12-15,1,1,<1,<1
2019-12-22,<1,1,<1,<1
2019-12-29,<1,1,<1,<1
2020-01-05,1,1,<1,<1
